Date,Index Value,Year,Month
2015-01-01,1.36,2015,1
2015-01-02,3.92,2015,1
2015-01-03,6.44,2015,1
2015-01-04,8.62,2015,1
2015-01-05,8.8,2015,1
2015-01-06,8.32,2015,1
2015-01-07,7.63,2015,1
2015-01-08,6.79,2015,1
2015-01-09,6.14,2015,1
2015-01-10,5.65,2015,1
2015-01-11,5.09,2015,1
2015-01-12,4.33,2015,1
2015-01-13,3.41,2015,1
2015-01-14,3.43,2015,1
2015-01-15,2.85,2015,1
2015-01-16,1.61,2015,1
2015-01-17,0.67,2015,1
2015-01-18,0.01,2015,1
2015-01-19,-0.43,2015,1
2015-01-20,-0.9,2015,1
2015-01-21,-1.3,2015,1
2015-01-22,-0.21,2015,1
2015-01-23,0.76,2015,1
2015-01-24,0.47,2015,1
2015-01-25,0.5,2015,1
2015-01-26,0.64,2015,1
2015-01-27,1.05,2015,1
2015-01-28,0.45,2015,1
2015-01-29,0.35,2015,1
2015-01-30,0.38,2015,1
2015-01-31,0.25,2015,1
2015-02-01,-0.48,2015,2
2015-02-02,-0.44,2015,2
2015-02-03,1.08,2015,2
2015-02-04,1.69,2015,2
2015-02-05,1.01,2015,2
2015-02-06,0.16,2015,2
2015-02-07,-0.66,2015,2
2015-02-08,-0.98,2015,2
2015-02-09,-1.49,2015,2
2015-02-10,-2.56,2015,2
2015-02-11,-3.36,2015,2
2015-02-12,-4.19,2015,2
2015-02-13,-4.51,2015,2
2015-02-14,-5.65,2015,2
2015-02-15,-7.01,2015,2
2015-02-16,-7.86,2015,2
2015-02-17,-7.58,2015,2
2015-02-18,-8.53,2015,2
2015-02-19,-8.47,2015,2
2015-02-20,-7.42,2015,2
2015-02-21,-7.78,2015,2
2015-02-22,-8.17,2015,2
2015-02-23,-8.98,2015,2
2015-02-24,-9.91,2015,2
2015-02-25,-8.87,2015,2
2015-02-26,-8.03,2015,2
2015-02-27,-7.62,2015,2
2015-02-28,-7.94,2015,2
2015-03-01,3.22,2015,3
2015-03-02,14.77,2015,3
2015-03-03,19.05,2015,3
2015-03-04,20.31,2015,3
2015-03-05,21.72,2015,3
2015-03-06,22.29,2015,3
2015-03-07,22.3,2015,3
2015-03-08,22.64,2015,3
2015-03-09,25.14,2015,3
2015-03-10,24.95,2015,3
2015-03-11,23.73,2015,3
2015-03-12,22.53,2015,3
2015-03-13,21.5,2015,3
